playlist_id,track_name,track_uri,preview_url,added_at,analysis_url
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Emerald and Stone,spotify:track:7Jd0MqZq15T4pDWts2G6Yl,https://p.scdn.co/mp3-preview/7b05ef830003b41b37169db0d5d8663ccad92dc8?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/7Jd0MqZq15T4pDWts2G6Yl
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Avril 14th,spotify:track:2MZSXhq4XDJWu6coGoXX1V,https://p.scdn.co/mp3-preview/8b0ffffe73ff5ba8bc187516b468777969d7a843?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/2MZSXhq4XDJWu6coGoXX1V
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,The Giant,spotify:track:2TOQzMaEqVVhdeheBVLOMm,https://p.scdn.co/mp3-preview/9055ad201d52db999077a97d3e29f44c3a1044ba?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/2TOQzMaEqVVhdeheBVLOMm
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Luna,spotify:track:2JJz0U0hlpYZC3jD0nzjYi,,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/2JJz0U0hlpYZC3jD0nzjYi
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Dorotea,spotify:track:59jDSGDLBUjDB8fr2BgoT2,,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/59jDSGDLBUjDB8fr2BgoT2
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Celtic Cowboy,spotify:track:7BX9pdIbf4LkCIWmFYp3tN,https://p.scdn.co/mp3-preview/eb724fe14f76d81acde9c5e50fce700964cc815b?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/7BX9pdIbf4LkCIWmFYp3tN
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Squares of life,spotify:track:2C6BCDdtYjbbbAucqaw9NG,https://p.scdn.co/mp3-preview/db97f7371adf7a6b834377d80423fb2a9295f037?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/2C6BCDdtYjbbbAucqaw9NG
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Painting The Horizon,spotify:track:2arnhO5us8aYdi5kYBiQPa,,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/2arnhO5us8aYdi5kYBiQPa
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Olancha Farewell,spotify:track:4KyJQKAFvEH4F52qSMuwIF,,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/4KyJQKAFvEH4F52qSMuwIF
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Sugarcane,spotify:track:6uWjjaiquXsjuQuks2mZME,https://p.scdn.co/mp3-preview/fa850316fe3f9e11e39d4083e60c9bb63039f4d6?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/6uWjjaiquXsjuQuks2mZME
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Quiet Resource,spotify:track:5FoZCDCl6WhrAIm4Ygyjg7,https://p.scdn.co/mp3-preview/9bdab81a04a2c09925f7e4725231889ce65e00c3?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/5FoZCDCl6WhrAIm4Ygyjg7
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Friendship Before Love,spotify:track:2dv7Jf570NkaWlW7NcsYTa,https://p.scdn.co/mp3-preview/301fd1aec0a6be755cf90bddcdd4a2812762dbf4?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/2dv7Jf570NkaWlW7NcsYTa
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,The Valley,spotify:track:5P8yZZg1zl6nAtgDEYFtsH,https://p.scdn.co/mp3-preview/517d43ae25ce2fe1930bff2371590c2219edf99d?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/5P8yZZg1zl6nAtgDEYFtsH
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Sea Of Tranquility,spotify:track:5nzGBQeLesWrD0J8Ctz75z,https://p.scdn.co/mp3-preview/5d5d69b6b6c54a5307ab007fbd2ed94f2111f5e3?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/5nzGBQeLesWrD0J8Ctz75z
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Revealing The Unreal,spotify:track:2zJmgxEcBUKtrfjfCn1UMM,https://p.scdn.co/mp3-preview/c9eb988f208639f4a94b74fbfb4820dbec35fc85?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/2zJmgxEcBUKtrfjfCn1UMM
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,The Whispers,spotify:track:4VH3rKj1tmhUZtX3U43jBq,https://p.scdn.co/mp3-preview/f9f00efa0d95d2db76f1a95a518f5f0df0520b59?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/4VH3rKj1tmhUZtX3U43jBq
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Return of Infinity,spotify:track:2Vrtd9aLbni8sI8RV1lmwh,https://p.scdn.co/mp3-preview/8392e9fdf44a464f58f2e54548acc92464e8ba66?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/2Vrtd9aLbni8sI8RV1lmwh
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Reminisce in D,spotify:track:7agnxnigAzIOP4zHAOXbsk,https://p.scdn.co/mp3-preview/268b25055b2d34ef8e8f985a93f2c54b9a53ef84?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/7agnxnigAzIOP4zHAOXbsk
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Close,spotify:track:3DpqDWkcWia60JWJwbVbDq,https://p.scdn.co/mp3-preview/9ecc0391e1b4a1925c01e11fcba3b627a863ae6b?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/3DpqDWkcWia60JWJwbVbDq
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Words Of Amber,spotify:track:5iTCS5NpZYK8wJLJkbcvJY,,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/5iTCS5NpZYK8wJLJkbcvJY
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Theme from the Steps of Life,spotify:track:10SGotpqSWPSvbIyMuWLS9,https://p.scdn.co/mp3-preview/1f5994cdd686abbaafef0897c86e50210e288740?cid=0192382717fd44a18daf0f99ca2242d8,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/10SGotpqSWPSvbIyMuWLS9
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,Still Life,spotify:track:2CX5QNXDNwqh87XhaVX9y7,,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/2CX5QNXDNwqh87XhaVX9y7
spotify:playlist:37i9dQZF1DWZd79rJ6a7lp,A Glowing Heart,spotify:track:3aWgBOVyv1dpxkofHDDHGe,,2019-07-26T21:07:57Z,https://api.spotify.com/v1/audio-analysis/3aWgBOVyv1dpxkofHDDHGe
